much	negative:-4.9485655646877005	positive:-4.9126872770227985
repeated	negative:-8.937087036176523	positive:-8.713943484862313
Vietnam.	negative:-10.323184242891017	positive:-9.630037062331072
anti-change	negative:-10.323184242891017	positive:-9.630037062331072
Near	negative:-9.630069924098052	positive:-9.630069924098052
dismissed	negative:-10.323217104657997	positive:-9.224604815989887
nature	negative:-7.279909793769256	positive:-7.328699957938688
evolving	negative:-10.323184242891017	positive:-9.630037062331072
hearing	negative:-8.377865440480617	positive:-7.684718259920672
adored	negative:-10.323249965345116	positive:-8.936955604225226
DIRTY	negative:-10.323217104657997	positive:-9.224604815989887
member	negative:-7.615955262168375	positive:-7.759056105809048
#	negative:-8.53168763756669	positive:-8.714009194360644
marked	negative:-8.714009194360644	positive:-8.53168763756669
attempts	negative:-7.328634313142655	positive:-7.379927607530206
trips	negative:-10.323184242891017	positive:-9.630037062331072
discovering	negative:-9.630168502920114	positive:-8.71387777104596
fatal	negative:-9.630135644392501	positive:-8.936988463832558
1963	negative:-10.323184242891017	positive:-9.630037062331072
August	negative:-10.323282824952447	positive:-8.713844912518347
innocence	negative:-9.630234216736469	positive:-8.3774712482411
houses	negative:-8.713910628493924	positive:-9.224736252259914
ultimate	negative:-9.630628408975985	positive:-7.37933661036949
secret	negative:-7.926077354602307	positive:-7.551383905160897
Swayze	negative:-10.323184242891017	positive:-9.630037062331072
reception	negative:-10.323184242891017	positive:-9.630037062331072
Grey	negative:-9.630168502920114	positive:-8.71387777104596
increases	negative:-10.323184242891017	positive:-9.630037062331072
Kennedy	negative:-8.713976340151197	positive:-8.713976340151197
Female	negative:-10.323184242891017	positive:-9.630037062331072
stud	negative:-10.323184242891017	positive:-9.630037062331072
sleep	negative:-8.377799752563886	positive:-7.838803251831199
wakes	negative:-9.224736252259914	positive:-8.713910628493924
nonsense	negative:-7.925748936588912	positive:-8.531884740159228
reflect	negative:-8.937119891465406	positive:-8.531654783357242
appeal.	negative:-10.323184242891017	positive:-9.630037062331072
within	negative:-7.433896353525903	positive:-7.433896353525903
videotape	negative:-8.713844912518347	positive:-10.323282824952447
legwarmers	negative:-9.630037062331072	positive:-10.323184242891017
turn	negative:-6.770101113683341	positive:-6.7145312625285305
Teri	negative:-9.630037062331072	positive:-10.323184242891017
web	negative:-8.713910628493924	positive:-9.224736252259914
paradigm	negative:-9.630037062331072	positive:-10.323184242891017
Meet	negative:-8.936988463832558	positive:-9.630135644392501
'ave	negative:-9.630037062331072	positive:-10.323184242891017
sold	negative:-8.531589071699969	positive:-9.63020136036808
boyfriend	negative:-7.838770406254675	positive:-8.53191758681462
achieves	negative:-9.224637676677007	positive:-9.630102784785171
Club	negative:-8.936988463832558	positive:-9.630135644392501
plunged	negative:-9.630037062331072	positive:-10.323184242891017
gasoline	negative:-9.630037062331072	positive:-10.323184242891017
assassins	negative:-9.630037062331072	positive:-10.323184242891017
Eighties	negative:-9.630037062331072	positive:-10.323184242891017
double-crosses	negative:-9.630037062331072	positive:-10.323184242891017
driven	negative:-8.937284151719721	positive:-7.925683240041241
Fight	negative:-8.713844912518347	positive:-10.323282824952447
fifty	negative:-9.630037062331072	positive:-10.323184242891017
chases	negative:-8.126288234639404	positive:-8.937218450855731
hear	negative:-7.328470182297177	positive:-7.685145126235909
Thomas	negative:-8.126452478706454	positive:-8.126452478706454
faint	negative:-9.630102784785171	positive:-9.224637676677007
well-crafted	negative:-9.630069924098052	positive:-9.630069924098052
murdered	negative:-7.758793388655391	positive:-8.377832597061614
often-sought	negative:-9.630037062331072	positive:-10.323184242891017
military	negative:-8.244104121267357	positive:-8.531786193719137
lunch	negative:-9.630168502920114	positive:-8.71387777104596
Combs	negative:-9.224637676677007	positive:-9.630102784785171
epic	negative:-8.244235514362838	positive:-8.02109196304863
artwork	negative:-9.224637676677007	positive:-9.630102784785171
ache	negative:-9.224604815989887	positive:-10.323217104657997
blended	negative:-9.630069924098052	positive:-9.630069924098052
Too-Wide	negative:-9.630037062331072	positive:-10.323184242891017
Gee	negative:-8.71387777104596	positive:-9.630168502920114
honestly	negative:-7.328338858222002	positive:-8.021486038781948
dollar	negative:-7.925683240041241	positive:-8.937284151719721
evening	negative:-9.224769108628303	positive:-8.531621928068358
yard-sale	negative:-9.630037062331072	positive:-10.323184242891017
dumb	negative:-7.23306151105332	positive:-8.126879387075416
Used	negative:-9.630037062331072	positive:-10.323184242891017
super	negative:-8.377536957739432	positive:-8.937152745674855
Those	negative:-7.925913159077909	positive:-7.925913159077909
mouth	negative:-7.925748936588912	positive:-8.531884740159228
trust	negative:-8.244136971159776	positive:-8.377668363784299
Bad	negative:-7.838737559599282	positive:-8.714206296953181
bike	negative:-8.713844912518347	positive:-10.323282824952447
city.	negative:-9.630069924098052	positive:-9.630069924098052
flipping	negative:-8.713910628493924	positive:-9.224736252259914
picked	negative:-8.021059116393236	positive:-8.377734060331969
Left	negative:-9.224604815989887	positive:-10.323217104657997
driving	negative:-8.244136971159776	positive:-8.377668363784299
fourth	negative:-8.531654783357242	positive:-8.937119891465406
cents.	negative:-9.630037062331072	positive:-10.323184242891017
pun	negative:-8.12625538258861	positive:-9.224867671256721
meaning	negative:-7.839131648274333	positive:-7.490824954006118
coaching	negative:-8.936955604225226	positive:-10.323249965345116
Wilikers	negative:-9.630037062331072	positive:-10.323184242891017
is.	negative:-8.24400556511491	positive:-9.224834818126634
Cyclone	negative:-9.630037062331072	positive:-10.323184242891017
maze	negative:-9.630037062331072	positive:-10.323184242891017
RIGHT	negative:-9.224604815989887	positive:-10.323217104657997
hook	negative:-8.531589071699969	positive:-9.63020136036808
danger	negative:-8.937152745674855	positive:-8.377536957739432
scientist	negative:-7.92588031673756	positive:-8.021190496541886
Guy	negative:-8.3774712482411	positive:-9.630234216736469
Flouncy	negative:-9.630037062331072	positive:-10.323184242891017
'ooth	negative:-9.630037062331072	positive:-10.323184242891017
open	negative:-8.126879387075416	positive:-7.23306151105332
Heather	negative:-9.224604815989887	positive:-10.323217104657997
9.95	negative:-9.224604815989887	positive:-10.323217104657997
'Re-Animator	negative:-9.630037062331072	positive:-10.323184242891017
force	negative:-8.377766906987361	positive:-7.925781783244304
Hair	negative:-9.630069924098052	positive:-9.630069924098052
Sale	negative:-9.224604815989887	positive:-10.323217104657997
Mouth.	negative:-9.630037062331072	positive:-10.323184242891017
wait.	negative:-9.630037062331072	positive:-10.323184242891017
Jeffery	negative:-9.224604815989887	positive:-10.323217104657997
stunningly	negative:-9.630168502920114	positive:-8.71387777104596
sticker	negative:-9.630037062331072	positive:-10.323184242891017
headlong	negative:-9.630069924098052	positive:-9.630069924098052
hired	negative:-7.925847473318557	positive:-8.126518168780708
CYCLONE	negative:-9.630037062331072	positive:-10.323184242891017
deceit	negative:-9.224637676677007	positive:-9.630102784785171
actual	negative:-7.105425112722891	positive:-7.839394287803091
VHS	negative:-8.937284151719721	positive:-7.925683240041241
inclined	negative:-8.936988463832558	positive:-9.630135644392501
rustle	negative:-9.630037062331072	positive:-10.323184242891017
thrift	negative:-9.224637676677007	positive:-9.630102784785171
Rarely	negative:-9.630102784785171	positive:-9.224637676677007
summary	negative:-8.020993419845567	positive:-8.714140600405512
Election	negative:-10.323217104657997	positive:-9.224604815989887
contrasts	negative:-10.323282824952447	positive:-8.713844912518347
Cool	negative:-9.630135644392501	positive:-8.936988463832558
decisions	negative:-9.224736252259914	positive:-8.713910628493924
minimalistic	negative:-10.323184242891017	positive:-9.630037062331072
interior	negative:-10.323217104657997	positive:-9.224604815989887
thriller-drama	negative:-10.323184242891017	positive:-9.630037062331072
atmospheric	negative:-9.630168502920114	positive:-8.71387777104596
ambitions	negative:-9.630168502920114	positive:-8.71387777104596
guitar	negative:-9.224637676677007	positive:-9.630102784785171
ruthless	negative:-9.224801963917187	positive:-8.377504103529983
dude	negative:-8.021059116393236	positive:-8.377734060331969
deserves	negative:-7.92604451765417	positive:-7.6158895893503304
depicting	negative:-8.531589071699969	positive:-9.63020136036808
static	negative:-8.377536957739432	positive:-8.937152745674855
light-shadow	negative:-10.323184242891017	positive:-9.630037062331072
succeeds	negative:-8.714206296953181	positive:-7.838737559599282
captivating	negative:-10.32331568348006	positive:-8.531556214252005
Triads-Rituals	negative:-10.323184242891017	positive:-9.630037062331072
boring	negative:-6.008780424873214	positive:-7.235226085051208
Furthermore	negative:-8.936988463832558	positive:-9.630135644392501
outsider	negative:-10.323282824952447	positive:-8.713844912518347
composed	negative:-9.224769108628303	positive:-8.531621928068358
acoustic	negative:-10.323249965345116	positive:-8.936955604225226
Although	negative:-6.923923860143721	positive:-6.85938533900615
creating	negative:-9.224900523307513	positive:-8.020927718981577
meticulously	negative:-10.323217104657997	positive:-9.224604815989887
thoroughly	negative:-8.53191758681462	positive:-7.838770406254675
opulent	negative:-10.323217104657997	positive:-9.224604815989887
Johnnie	negative:-10.323184242891017	positive:-9.630037062331072
lighting	negative:-8.126386784316733	positive:-8.37770121259764
Talking-Heads	negative:-10.323184242891017	positive:-9.630037062331072
Characters	negative:-8.937021322360168	positive:-9.22470339481195
Woman	negative:-8.713976340151197	positive:-8.713976340151197
Politicians	negative:-9.630037062331072	positive:-10.323184242891017
tame	negative:-9.630102784785171	positive:-9.224637676677007
Police	negative:-9.630135644392501	positive:-8.936988463832558
spider-web	negative:-9.630037062331072	positive:-10.323184242891017
monologues	negative:-9.224637676677007	positive:-9.630102784785171
names	negative:-7.551515242171855	positive:-7.616053763309426
hoped	negative:-8.937087036176523	positive:-8.713943484862313
city-political	negative:-9.630037062331072	positive:-10.323184242891017
pleasure	negative:-8.714403360703942	positive:-7.433469515241878
not.	negative:-8.71387777104596	positive:-9.630168502920114
cover-ups	negative:-9.630037062331072	positive:-10.323184242891017
urban	negative:-9.630102784785171	positive:-9.224637676677007
safe	negative:-8.531753342747567	positive:-8.377602662920308
reveal	negative:-8.937152745674855	positive:-8.377536957739432
citywide	negative:-9.630037062331072	positive:-10.323184242891017
blow	negative:-7.925748936588912	positive:-8.531884740159228
Hall	negative:-8.937087036176523	positive:-8.713943484862313
doesn't.	negative:-9.630037062331072	positive:-10.323184242891017
confession	negative:-9.630069924098052	positive:-9.630069924098052
altogether	negative:-8.71387777104596	positive:-9.630168502920114
meant	negative:-7.433765038073168	positive:-7.685079466354074
moral	negative:-7.758957594964566	positive:-7.8390003026381025
Scent	negative:-9.224604815989887	positive:-10.323217104657997
sorts	negative:-8.021124808625153	positive:-8.12648532428298
allows	negative:-8.531884740159228	positive:-7.925748936588912
tension	negative:-7.551383905160897	positive:-7.926077354602307
overdosed	negative:-9.630037062331072	positive:-10.323184242891017
ahead-of-its-time	negative:-9.630037062331072	positive:-10.323184242891017
thrilling	negative:-8.714009194360644	positive:-8.53168763756669
clouds	negative:-8.937021322360168	positive:-9.22470339481195
irreparably	negative:-9.630037062331072	positive:-10.323184242891017
overlooked	negative:-9.224900523307513	positive:-8.020927718981577
fable	negative:-9.224670536284338	positive:-9.224670536284338
trademarks	negative:-9.224604815989887	positive:-10.323217104657997
setup	negative:-8.937021322360168	positive:-9.22470339481195
engaging	negative:-7.758891915676506	positive:-8.021256180143997
politics	negative:-8.244071270295786	positive:-8.714074899541522
Two-Faced	negative:-9.630037062331072	positive:-10.323184242891017
gem	negative:-8.37793112408273	positive:-7.551252550898262
Al	negative:-8.244038418244994	positive:-8.93718559880494
growing	negative:-8.37799680337079	positive:-7.433535194529939
ties	negative:-8.714074899541522	positive:-8.244071270295786
Corruption	negative:-9.630037062331072	positive:-10.323184242891017
Pacino	negative:-8.71387777104596	positive:-9.630168502920114
Mafia	negative:-9.630069924098052	positive:-9.630069924098052
